ImageID,TrueLabel,PredictedLabel_RMN,Confidence_RMN,ProcessingTime_RMN,PredictedLabel_DeepFace,Confidence_DeepFace,ProcessingTime_DeepFace
32298.png,0,0.0,0.7072099447250366,0.51712965965271,3,0.97,1.2147247791290283
32303.png,0,4.0,0.40936022996902466,0.4721055030822754,4,0.0,0.018004179000854492
32306.png,0,4.0,0.3516690731048584,0.5081148147583008,3,0.0,0.018004179000854492
32312.png,0,6.0,0.30269482731819153,0.2540562152862549,4,0.0,0.01400303840637207
32320.png,0,4.0,0.28244516253471375,0.4811253547668457,6,0.96,0.0402379035949707
32331.png,0,5.0,0.4817117750644684,0.48911213874816895,2,0.0,0.015003204345703125
32335.png,0,0.0,0.4387686550617218,0.2620584964752197,0,0.94,0.024005413055419922
32336.png,0,0.0,0.9933710098266602,0.2572605609893799,0,0.0,0.01600360870361328
32352.png,0,0.0,0.5197042226791382,0.48210811614990234,2,0.0,0.01600360870361328
32362.png,0,0.0,0.321219265460968,0.2610588073730469,2,0.0,0.017003774642944336
32363.png,0,0.0,0.5155354142189026,0.25505852699279785,2,0.95,0.035637855529785156
32367.png,0,0.0,0.4829857647418976,0.2555656433105469,4,0.0,0.01600360870361328
32373.png,0,0.0,0.2879903018474579,0.48961496353149414,5,0.9,0.04102349281311035
32375.png,0,0.0,0.4986942708492279,0.2540578842163086,2,0.0,0.017003536224365234
32408.png,0,0.0,0.2584787607192993,0.49811601638793945,0,0.92,0.03982949256896973
32410.png,0,0.0,0.970481812953949,0.2560572624206543,2,0.94,0.04402661323547363
32411.png,0,3.0,0.49836593866348267,0.25305771827697754,6,0.0,0.015002727508544922
32417.png,0,5.0,0.3862568438053131,0.49361658096313477,6,0.96,0.022726058959960938
32423.png,0,3.0,0.283059298992157,0.2520568370819092,2,0.0,0.015003204345703125
32431.png,0,0.0,0.948828935623169,0.2560610771179199,0,0.0,0.01800394058227539
32433.png,0,0.0,0.7572607398033142,0.25740671157836914,6,0.95,0.034008026123046875
32437.png,0,0.0,0.7634477615356445,0.2565624713897705,0,1.0,0.03812217712402344
32442.png,0,0.0,0.5882675051689148,0.48011088371276855,4,0.97,0.023369312286376953
32454.png,0,0.0,0.9732223153114319,0.2610592842102051,6,0.93,0.03801155090332031
32455.png,0,0.0,0.4819265902042389,0.2630593776702881,6,0.95,0.03790020942687988
32464.png,0,0.0,0.5280609726905823,0.24855947494506836,4,0.0,0.01700305938720703
